agent_a,agent_b,mean,ci_low,ci_high,p_value,n,seeds
random,always_fold,0.49672,0.49233735724000205,0.5011026427599979,0.0,50000,"0,1,2,3,4"
always_fold,random,-0.49672,-0.5011026427599979,-0.49233735724000205,0.0,50000,"0,1,2,3,4"
random,always_call,-0.37955,-0.3864133539132161,-0.3726866460867839,0.0,50000,"0,1,2,3,4"
always_call,random,0.37955,0.3726866460867839,0.3864133539132161,0.0,50000,"0,1,2,3,4"
random,rule_based_tight_aggressive,-0.20815,-0.21082107710849732,-0.20547892289150269,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,random,0.20815,0.20547892289150269,0.21082107710849732,0.0,50000,"0,1,2,3,4"
random,ev_heuristic_v0,-0.16255,-0.16701112256727063,-0.15808887743272937,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,random,0.16255,0.15808887743272937,0.16701112256727063,0.0,50000,"0,1,2,3,4"
random,MineCFR10000,-0.1424,-0.1470702972600478,-0.1377297027399522,0.0,50000,"0,1,2,3,4"
MineCFR10000,random,0.1424,0.1377297027399522,0.1470702972600478,0.0,50000,"0,1,2,3,4"
random,OpenSpielCFR10000,-0.14264,-0.14728523677994862,-0.13799476322005136,0.0,50000,"0,1,2,3,4"
OpenSpielCFR10000,random,0.14264,0.13799476322005136,0.14728523677994862,0.0,50000,"0,1,2,3,4"
always_fold,always_call,-1.0,-1.0,-1.0,0.0,50000,"0,1,2,3,4"
always_call,always_fold,1.0,1.0,1.0,0.0,50000,"0,1,2,3,4"
always_fold,rule_based_tight_aggressive,0.0,0.0,0.0,,50000,"0,1,2,3,4"
rule_based_tight_aggressive,always_fold,0.0,0.0,0.0,,50000,"0,1,2,3,4"
always_fold,ev_heuristic_v0,-0.11426,-0.11704853211769638,-0.11147146788230362,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,always_fold,0.11426,0.11147146788230362,0.11704853211769638,0.0,50000,"0,1,2,3,4"
always_fold,MineCFR10000,-0.18586,-0.1892697137820665,-0.1824502862179335,0.0,50000,"0,1,2,3,4"
MineCFR10000,always_fold,0.18586,0.1824502862179335,0.1892697137820665,0.0,50000,"0,1,2,3,4"
always_fold,OpenSpielCFR10000,-0.1807,-0.18407268643496483,-0.17732731356503517,0.0,50000,"0,1,2,3,4"
OpenSpielCFR10000,always_fold,0.1807,0.17732731356503517,0.18407268643496483,0.0,50000,"0,1,2,3,4"
always_call,rule_based_tight_aggressive,-0.33396,-0.33602409176288384,-0.3318959082371161,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,always_call,0.33396,0.3318959082371161,0.33602409176288384,0.0,50000,"0,1,2,3,4"
always_call,ev_heuristic_v0,-0.15269,-0.1576800171600296,-0.14769998283997038,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,always_call,0.15269,0.14769998283997038,0.1576800171600296,0.0,50000,"0,1,2,3,4"
always_call,MineCFR10000,-0.10916,-0.11415635173417102,-0.10416364826582897,0.0,50000,"0,1,2,3,4"
MineCFR10000,always_call,0.10916,0.10416364826582897,0.11415635173417102,0.0,50000,"0,1,2,3,4"
always_call,OpenSpielCFR10000,-0.10748,-0.11251521405448456,-0.10244478594551545,0.0,50000,"0,1,2,3,4"
OpenSpielCFR10000,always_call,0.10748,0.10244478594551545,0.11251521405448456,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,ev_heuristic_v0,-0.08881,-0.09048504939879831,-0.08713495060120169,0.0,50000,"0,1,2,3,4"
ev_heuristic_v0,rule_based_tight_aggressive,0.08881,0.08713495060120169,0.09048504939879831,0.0,50000,"0,1,2,3,4"
rule_based_tight_aggressive,MineCFR10000,-0.00122,-0.003458004445154016,0.0010180044451540157,0.28532189533285696,50000,"0,1,2,3,4"
MineCFR10000,rule_based_tight_aggressive,0.00122,-0.0010180044451540157,0.003458004445154016,0.28532189533285696,50000,"0,1,2,3,4"
rule_based_tight_aggressive,OpenSpielCFR10000,0.00016,-0.002024344446353186,0.002344344446353186,0.8858428995480342,50000,"0,1,2,3,4"
OpenSpielCFR10000,rule_based_tight_aggressive,-0.00016,-0.002344344446353186,0.002024344446353186,0.8858428995480342,50000,"0,1,2,3,4"
ev_heuristic_v0,MineCFR10000,-0.02275,-0.025547236223240677,-0.019952763776759322,4.5702773140658255e-57,50000,"0,1,2,3,4"
MineCFR10000,ev_heuristic_v0,0.02275,0.019952763776759322,0.025547236223240677,4.5702773140658255e-57,50000,"0,1,2,3,4"
ev_heuristic_v0,OpenSpielCFR10000,-0.02071,-0.023466265614956513,-0.017953734385043486,5.477480847244302e-49,50000,"0,1,2,3,4"
OpenSpielCFR10000,ev_heuristic_v0,0.02071,0.017953734385043486,0.023466265614956513,5.477480847244302e-49,50000,"0,1,2,3,4"
MineCFR10000,OpenSpielCFR10000,-2e-05,-0.0007896665102483932,0.0007496665102483931,0.9593805875553169,50000,"0,1,2,3,4"
OpenSpielCFR10000,MineCFR10000,2e-05,-0.0007496665102483931,0.0007896665102483932,0.9593805875553169,50000,"0,1,2,3,4"
